bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2209	2190	74.12198463	8.69901444	6	2023	75.66484634	6.46744447	6	2.71299222025976	2F
2211	2123	76.862	10.312	6	2125	77.261	12.885	6	2.60375306048788	2F
2212	2125	77.261	12.885	6	2120	77.65994102	15.4574236	6	2.60317443043596	2F
2367	2022	56.451	32.159	6	2265	59.98727234	29.37478552	6	4.5007857462104	2F
2368	673	50.831	21.519	6	2259	56.76696064	17.10607764	6	7.39658789409124	2F
2369	2101	49.077	16.446	6	2040	54.33176923	12.97075002	6	6.29999699079649	2F
2370	2259	56.76696064	17.10607764	6	2034	62.33132742	12.97	6	6.93320387025187	2F
2400	2267	70.20092073	13.25415833	6	2266	74.448	11.379	6	4.64261791322871	2F
2371	2259	56.76696064	17.10607764	6	2019	58.882	20.699	6	4.16923045409308	2F
2372	2040	54.33176923	12.97075002	6	2268	58.332	12.97075	6	4.00023076999999	2F
2373	2268	58.332	12.97075	6	2034	62.33132742	12.97	6	3.99932749032432	2F
2374	2117	46.33226324	12.97066667	6	2269	50.332	12.971	6	3.99973677388952	2F
2375	2269	50.332	12.971	6	2040	54.33176923	12.97075002	6	3.99976923781171	2F
2376	2006	38.332	6.472	6	2270	42.332	6.47175	6	4.0000000078125	2F
2377	2270	42.332	6.47175	6	14035	46.332	6.471625	6	4.00000000195312	2F
2378	2257	34.332	6.4725	6	2006	38.332	6.472	6	4.00000003125	2F
2379	14035	46.332	6.471625	6	2271	50.332	6.4715	6	4.00000000195312	2F
2380	2271	50.332	6.4715	6	2010	54.332	6.4709375	6	4.00000003955078	2F
2381	2258	34.332	-0.0025	6	2005	38.332	-0.003	6	4.00000003125	2F
2382	2005	38.332	-0.003	6	2272	42.332	-0.0035	6	4.00000003125	2F
2383	2272	42.332	-0.0035	6	2008	46.332	-0.004	6	4.00000003125	2F
2384	2008	46.332	-0.004	6	2273	50.332	-0.0045	6	4.00000003125	2F
2385	2273	50.332	-0.0045	6	2009	54.332	-0.005	6	4.00000003125	2F
2386	2009	54.332	-0.005	6	2274	58.332	-0.0055	6	4.00000003125	2F
2387	2274	58.332	-0.0055	6	2011	62.332	-0.006	6	4.00000003125	2F
2388	2013	70.332	-0.007	6	2275	74.332	-0.0075	6	4.00000003125	2F
2389	2275	74.332	-0.0075	6	2200	78.332	-0.008	6	4.00000003125	2F
2390	2010	54.332	6.4709375	6	2276	58.332	6.470625	6	4.00000001220703	2F
2391	2276	58.332	6.470625	6	2012	62.332	6.470375	6	4.0000000078125	2F
2392	2011	62.332	-0.006	6	2277	66.332	-0.0065	6	4.00000003125001	2F
2393	2277	66.332	-0.0065	6	2013	70.332	-0.007	6	4.00000003125	2F
2394	2012	62.332	6.470375	6	2278	66.332	6.4685	6	4.00000043945311	2F
2395	2278	66.332	6.4685	6	2014	70.332	6.468	6	4.00000003125	2F
2396	2014	70.332	6.468	6	2023	75.66484634	6.46744447	6	5.33284636893517	2F
2397	2023	75.66484634	6.46744447	6	2024	78.332	6.467	6	2.66715369703453	2F
2098	14035	46.332	6.471625	6	2102	46.332	9.72125	6	3.249625	2F
2099	2102	46.332	9.72125	6	2117	46.33226324	12.97066667	6	3.24941668066273	2F
2102	2012	62.332	6.470375	6	2108	62.332	9.7205	6	3.250125	2F
2103	2108	62.332	9.7205	6	2034	62.33132742	12.97	6	3.24950006960515	2F
2104	2006	38.332	6.472	6	2113	38.332	9.722	6	3.25	2F
2105	2113	38.332	9.722	6	2116	38.332	12.972	6	3.25	2F
2032	2033	41.40107446	23.74090426	6	2208	36.329	24.936	6	5.21096854294386	2F
2033	2279	37.78669537	29.26283708	6	2253	41.759	28.414	6	4.06198577815117	2F
2040	2033	41.40107446	23.74090426	6	2105	41.617	24.789	6	1.07010677926571	2F
2087	2279	37.78669537	29.26283708	6	2207	38.392	31.06	6	1.89636184735993	2F
